data,horaEntrada,hora,minuto,tempogasto,HoraSaida,usouVoucher
1/3/2023,18:37:00,18,37,11,18:48:00,0
1/3/2023,18:13:00,18,13,20,18:33:00,1
1/3/2023,20:16:00,20,16,35,20:51:00,0
1/3/2023,07:01:00,7,1,15,07:16:00,0
1/3/2023,14:10:00,14,10,19,14:29:00,1
1/3/2023,14:21:00,14,21,16,14:37:00,0
1/3/2023,20:35:00,20,35,12,20:47:00,0
1/3/2023,15:11:00,15,11,41,15:52:00,0
1/3/2023,12:59:00,12,59,42,13:41:00,1
1/3/2023,20:35:00,20,35,27,21:02:00,0
1/3/2023,16:42:00,16,42,21,17:03:00,1
1/3/2023,08:04:00,8,4,4,08:08:00,1
1/3/2023,21:50:00,21,50,34,22:24:00,1
1/3/2023,17:55:00,17,55,29,18:24:00,1
1/3/2023,08:59:00,8,59,30,09:29:00,0
1/3/2023,18:19:00,18,19,33,18:52:00,0
1/3/2023,19:38:00,19,38,35,20:13:00,0
1/3/2023,19:14:00,19,14,5,19:19:00,0
1/3/2023,18:57:00,18,57,11,19:08:00,1
1/3/2023,08:06:00,8,6,41,08:47:00,1
1/3/2023,13:18:00,13,18,28,13:46:00,1
1/3/2023,19:41:00,19,41,40,20:21:00,0
1/3/2023,13:45:00,13,45,25,14:10:00,0
1/3/2023,10:08:00,10,8,7,10:15:00,0
1/3/2023,20:38:00,20,38,10,20:48:00,1
1/3/2023,21:39:00,21,39,30,22:09:00,0
1/3/2023,18:26:00,18,26,13,18:39:00,1
1/3/2023,18:16:00,18,16,34,18:50:00,0
1/3/2023,21:23:00,21,23,20,21:43:00,0
1/3/2023,07:41:00,7,41,34,08:15:00,1
1/3/2023,20:06:00,20,6,25,20:31:00,1
1/3/2023,13:58:00,13,58,31,14:29:00,0
1/3/2023,16:23:00,16,23,42,17:05:00,0
1/3/2023,18:47:00,18,47,17,19:04:00,1
1/3/2023,12:02:00,12,2,12,12:14:00,1
1/3/2023,07:33:00,7,33,40,08:13:00,0
1/3/2023,12:59:00,12,59,44,13:43:00,1
1/3/2023,11:10:00,11,10,33,11:43:00,0
1/3/2023,11:55:00,11,55,19,12:14:00,1
1/3/2023,08:40:00,8,40,29,09:09:00,1
1/3/2023,17:08:00,17,8,3,17:11:00,1
1/3/2023,16:31:00,16,31,31,17:02:00,1
1/3/2023,18:14:00,18,14,4,18:18:00,1
1/3/2023,16:48:00,16,48,21,17:09:00,1
1/3/2023,13:41:00,13,41,40,14:21:00,0
1/3/2023,14:11:00,14,11,29,14:40:00,1
1/3/2023,10:44:00,10,44,19,11:03:00,0
1/3/2023,17:58:00,17,58,32,18:30:00,0
1/3/2023,15:39:00,15,39,37,16:16:00,0
1/3/2023,12:31:00,12,31,17,12:48:00,0
1/3/2023,10:01:00,10,1,13,10:14:00,1
1/3/2023,18:54:00,18,54,27,19:21:00,1
1/3/2023,15:55:00,15,55,5,16:00:00,0
1/3/2023,09:55:00,9,55,4,09:59:00,1
1/3/2023,11:54:00,11,54,26,12:20:00,1
1/3/2023,15:28:00,15,28,36,16:04:00,0
1/3/2023,15:15:00,15,15,17,15:32:00,1
1/3/2023,16:53:00,16,53,37,17:30:00,1
1/3/2023,19:36:00,19,36,20,19:56:00,1
1/3/2023,09:28:00,9,28,29,09:57:00,0
1/3/2023,08:07:00,8,7,33,08:40:00,1
1/3/2023,15:08:00,15,8,18,15:26:00,0
1/3/2023,10:07:00,10,7,33,10:40:00,1
1/3/2023,09:53:00,9,53,8,10:01:00,0
1/3/2023,13:21:00,13,21,40,14:01:00,0
1/3/2023,15:19:00,15,19,31,15:50:00,1
1/3/2023,13:00:00,13,0,18,13:18:00,1
1/3/2023,17:44:00,17,44,3,17:47:00,0
1/3/2023,16:36:00,16,36,38,17:14:00,1
1/3/2023,11:25:00,11,25,22,11:47:00,0
1/3/2023,19:23:00,19,23,13,19:36:00,1
1/3/2023,14:29:00,14,29,28,14:57:00,1
1/3/2023,09:37:00,9,37,42,10:19:00,0
1/3/2023,12:41:00,12,41,29,13:10:00,0
1/3/2023,18:54:00,18,54,10,19:04:00,1
1/3/2023,11:53:00,11,53,19,12:12:00,0
1/3/2023,10:31:00,10,31,11,10:42:00,1
1/3/2023,10:23:00,10,23,11,10:34:00,0
1/3/2023,08:55:00,8,55,9,09:04:00,1
1/3/2023,18:42:00,18,42,29,19:11:00,0
1/3/2023,19:38:00,19,38,43,20:21:00,0
1/3/2023,17:37:00,17,37,45,18:22:00,0
1/3/2023,16:51:00,16,51,20,17:11:00,0
1/3/2023,16:50:00,16,50,10,17:00:00,0
